"Gene Symbol","Nominations","Year First Nominated","Nominating Teams","Cohort Study","Program","Input Data","Pharos Class","Small Molecule Druggability","Safety Rating","Antibody Modality"
"DOCK2","2","2018","IUSM-Purdue, MSSM - Zhang Lab","ABA, GSE33000, GSE44772, GSE48350, GSE5281, Mayo, MSBB, ROSMAP","AMP-AD, TREAT-AD","Genetics, RNA","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"DPP6","2","2018","Chang Lab, Emory","ACT, Banner, BLSA, Mayo, MSBB","AMP-AD, Community","Genetics, Protein, RNA","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"DYNC1I1","2","2018","Chang Lab, MSSM - Zhang Lab","Kronos, Mayo, MSBB, ROSMAP, Rush","AMP-AD, Community","Genetics, RNA","Tbio","4: Targetable by homologous structure: >=40% homologous to a structurally druggable protein, based on the presence of a druggable pocket in the homologous protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate. "
"EPB41L3","2","2018","Emory, MSSM - Zhang Lab","ACT, Banner, BLSA, MSBB","AMP-AD","Protein","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"EPHA1","2","2018","Duke, Mayo-UFL-ISB","ADNI, Mayo","AMP-AD","Genetics, Metabolomics, RNA","Tchem","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","1: Clinical data, evidence of tolerable safety profile in desired modality; target has a drug in phase IV in the appropriate modality, with good safety profile.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"EPHX2","2","2022","Duke, Emory-Sage-SGC","Banner, ROSMAP","AMP-AD, TREAT-AD","Genetics, Protein","Tchem","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"FCER1G","2","2018","Emory-Sage-SGC, Mayo-UFL-ISB","Banner, Mayo, ROSMAP","AMP-AD, TREAT-AD","Genetics, Protein, RNA","Tbio","13: Unknown: There is no information on ligands or structure in any of the categories above. ","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"FIBP","2","2019","Chang Lab, MSSM - Roussos Lab","FreshMicro, Kronos, Mayo, ROSMAP","AMP-AD, Community","Genetics, RNA","Tbio","13: Unknown: There is no information on ligands or structure in any of the categories above. ","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment. "
"FOXO1","2","2018","Duke, MSSM - Roussos Lab","ADNI, HBI_scRNAseq","AMP-AD","Genetics, Metabolomics, RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","5: Protein located in the cytosol. Not practically accessible to antibody-based therapies, but may be more easily accessible to other modalities."
"GABRA2","2","2023","ASU, Duke","VirusResilience","AMP-AD","Genetics, Metabolomics, Phenomics, Protein, RNA","Tclin","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","1: Clinical data, evidence of tolerable safety profile in desired modality; target has a drug in phase IV in the appropriate modality, with good safety profile.","1: Secreted protein. Highly accessible to antibody-based therapies."
"GFAP","2","2018","Emory, MSSM - Zhang Lab","ACT, Banner, BLSA, MSBB","AMP-AD","Genetics, Protein","Tbio","4: Targetable by homologous structure: >=40% homologous to a structurally druggable protein, based on the presence of a druggable pocket in the homologous protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein. "
"GIMAP8","2","2022","IUSM-Purdue, MSSM - Roussos Lab","ABA, GSE33000, GSE44772, GSE48350, GSE5281, HBI_scRNAseq, Mayo, MSBB, ROSMAP","AMP-AD, TREAT-AD","RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein. "
"GMPR","2","2018","Emory, MSSM - Zhang Lab","ACT, Banner, BLSA, MSBB","AMP-AD","Protein","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein. "
"GPNMB","2","2020","Emory, Emory-Sage-SGC","Banner, Emory, MSBB, ROSMAP","AMP-AD, TREAT-AD","Protein","Tbio","13: Unknown: There is no information on ligands or structure in any of the categories above. ","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies."
"GRIA2","2","2018","Emory, MSSM - Zhang Lab","ACT, Banner, BLSA, MSBB","AMP-AD","Genetics, Protein, RNA","Tclin","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","1: Clinical data, evidence of tolerable safety profile in desired modality; target has a drug in phase IV in the appropriate modality, with good safety profile.","1: Secreted protein. Highly accessible to antibody-based therapies."
"HLA-DRA","2","2019","Chang Lab, IUSM-Purdue","ABA, GSE33000, GSE44772, GSE48350, GSE5281, Kronos, Mayo, MSBB, ROSMAP, Rush","Community, TREAT-AD","Genetics, RNA","No value","No value","No value","No value"
"HNRNPM","2","2018","Emory, MSSM - Zhang Lab","ACT, Banner, BLSA, MSBB","AMP-AD","Protein","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment. "
"HOMER1","2","2018","Chang Lab, Emory","ACT, Banner, BLSA, Kronos, Mayo, ROSMAP, Rush","AMP-AD, Community","Genetics, Protein, RNA","Tbio","4: Targetable by homologous structure: >=40% homologous to a structurally druggable protein, based on the presence of a druggable pocket in the homologous protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","5: Protein located in the cytosol. Not practically accessible to antibody-based therapies, but may be more easily accessible to other modalities."
"HSPB1","2","2018","Columbia-Rush, Emory","ACT, Banner, BLSA, ROSMAP","AMP-AD","Clinical, Protein","Tchem","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"IGF1","2","2018","Mayo-UFL-ISB, MSSM - Roussos Lab","HBI_scRNAseq, Mayo","AMP-AD","RNA","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies."
